category,Questions,Tags
family ,tell me about your family sister,2
family,"tell me I beseech thee, about your family brother",2
located,Where do you live?,3
located,hwere are you livin as of now?,3
located,where do you live in the US?,3
located,where are you staying in the US?,3
located,where you residing I america as of now,3
located,What location u livin at in the US?,3
located,where are you residing and located here in the USA as of now,3
located,where do you stay in the US?,3
located,where are you staying ?,3
located,oh I actually meant where do you reside as of now in the USA,3
located,cmon now where u been staying tell a maine that come on,3
located,where have u been stayin in the US?,3
located,whats ur location of stay in the US?,3
located,where is your location of stay in US?,3
located,please tell me about your location of stay in US,3
located,what place do u live here in the united states?,3
located,where the hell have you been stayin in the US my friendo,3
greetings,hi! How are you?,4
greetings,heyyyy whats up!,4
greetings,hello there,4
greetings,hi there,4
greetings,hi how are you doing,4
greetings,how u doin,4
greetings,hello,4
greetings,well met,4
greetings,sure but how are you,4
greetings,sure how are you,4
greetings,and how are you,4
greetings,How are you person,4
greetings,how are you,4
greetings,good day to you!,4
greetings,so nice to meet you!,4
greetings,hi nice to meet you,4
greetings,hi nice 2 meet you friend,4
greetings,hello my friend,4
greetings,whats up bro,4
greetings,whats up girl,4
greetings,whats up sis,4
greetings,hows it going,4
greetings,how is it going,4
greetings,whats the deal brother,4
greetings,whats the deal brother - hows it going,4
greetings,"whats the deal sister, how is it going",4
greetings,whats the deal sister,4
greetings,how's it going,4
greetings,hello all,4
greetings,hi all,4
greetings,hi,4
greetings,hii,4
greetings,hiii,4
greetings,hi hello,4
greetings,hey hi ello,4
greetings,hey there hi hello,4
greetings,okay then how are you doing ,4
greetings,ok now how are we doing,4
greetings,hi hey man,4
greetings,hi hey whats up,4
greetings,hiiii,4
greetings,hello,4
greetings,helo,4
greetings,heloo,4
greetings,helooo,4
greetings,wassup ,4
greetings,whatsup hows it goin,4
greetings,whatsup,4
greetings,hellooo,4
greetings,greeting man,4
greetings,greeting woman,4
greetings,greeting human,4
greetings,greetings fellow,4
greetings,greetings fellow human,4
greetings,hi brother what is up with you,4
greetings,hi sister whats up,4
greetings,hey ho sister whats up,4
greetings,hey ho hey hi ho brother whats popping,4
greetings,hey whats up my brother,4
greetings,hey whats up ! So nice to see you!,4
greetingreply,I am gud!,5
greetingreply,I am doing fine!,5
greetingreply,I am good,5
greetingreply,I am good thanks for asking,5
greetingreply,thanks for askin I am doin good,5
greetingreply,been gud,5
greetingreply,been good,5
greetingreply,I have been good,5
greetingreply,thanks for askin! I am good!,5
greetingreply,I am doing good! Why thank you,5
greetingreply,I am cool,5
greetingreply,I am goo why thank you,5
greetingreply,I am doing extremely well thanks you!,5
greetingreply,I am doing well why tahnk you,5
greetingreply,I am doing great why thank you so much,5
greetingques,I am doing well! What about you!,6
greetingques,I am well what about you!,6
greetingques,I am good thanks for askin! What about you?,6
greetingques,I am doing well what about you!,6
greetingques,I am doinf pretty good what about you?,6
greetingques,What about you,6
greetingques,how are you,6
greetingques,what about you! How are you doing,6
greetingques,how about yourself,6
greetingques,I am pretty fine. How are you?,6
greetingques,how about your self,6
greetingques,how about yoself,6
greetingques,I have been good! What about yourself!,6
greetingques,I have been good what about yourself,6
greetingques,I have been good how about yourself,6
greetingques,I have been good how about yoself,6
greetingques,I am trying to be good! How about yourself,6
greetingques,I am mighty fine good sir how are you,6
greetingques,I am mighty fine maam how are you,6
greetingques,mighty fine moghty fine how about yourself,6
experience,How has your experience been so far!,7
experience,what are your thoughts on US,7
experience,so what do you think about the united states,7
experience,so what can you tell me about your thoughts on this country - the great united states of america,7
experience,what are your thoughts about the U.S of A,7
experience,do you like the US,7
experience,what is your thought about the US of A,7
experience,how do you like the united states,7
experience,how do you like it here so far,7
experience,how do you like it here,7
experience,implore you to tell me your thoughts about the US,7
experience,how do you like US so far,7
experience,how do you like the USA so far,7
experience,how has your experience been so far in the USA,7
experience,how has your experience been so far here in the United States,7
experience,how do you like it so far,7
experience,how do you like living here so far,7
experience,what has it been like being here so far,7
experience,how do you find living here so far,7
experience,tell me about your experience so far,7
experience,"so, I implore, how do you find the US so far?",7
experience ,"so, I beseech thee, tell me how do you like the united states so far",7
pastexperience,could you give me an overview of your past experience,8
pastexperience,I request you to please walk me through your past experiences,8
pastexperience,talk me through your past experience,8
pastexperience,tell me about your past experience,8
pastexperience,how was experience back there,8
pastexperience,what was living like back there,8
pastexperience,tell me about your experiences in the past ,8
pastexperience,tell me about the experiences you have had in the past,8
pastexperience,what the hell can you tell me about your past experience when you were not in the united states,8
pastexperience,how about you tell me about your past experience,8
pastexperience,how was it in terms of experience before you caused your migration to over here,8
pastexperience,what was your experience like before you moved here which led to your immigration/migration,8
pastexperience,what was your experience like before you moved here to the united states,8
pastexperience,how was it experience wise before you moved here,8
pastexperience,what can you tell me about your previous experience when you were not in the US,8
pastexperience,how was it the past experience in Afghanistan,8
pastexperience,how was living like in your previous country,8
pastexperience,what was your living like in your old country,8
pastexperience,what was living like back in Afghanistan,8
pastexperience,what was living like in mexico?,8
pastexperience,how was it like back in the old country,8
pastexperience,what was it like back in the old country,8
pastexperience,how your experience back there in Mexico,8
pastexperience,what was the experience like back there in india,8
pastexperience,what was the experience for you like back there in Afghanistan,8
pastexperience,did you like it back there in the past the country you came from,8
work,tell me about your work,9
work,tell me about your job,9
work,what can you tell me about your job,9
work,what can you tell me about your work,9
work,"how was it, the work, your work",9
work,any comments on your work,9
work,tell me sum bout yo work ,9
work,lets talk about your work,9
work,sure please tell me about your work,9
work,alright then please tell me about your work,9
work,what do you do for work?,9
work,what kind of work do you do?,9
work,what line of work are you in please tell me I beseech thee,9
work,"what kind of line of work or job are you in currently, tell me that now",9
dadinfo,tell me about your father,10
dadinfo,please tell me about your dad,10
dadinfo,please tell me about your fathre,10
dadinfo,"what can you tell me about your dad, please tell me, I implore",10
dadinfo,how old is your father,10
dadinfo,how old is he your papa,10
dadinfo,what is your papa's name,10
dadinfo,what can you tell me about your papa's work,10
dadinfo,how agey is your daddy,10
dadinfo,what is your daddy's name,10
dadinfo,what is your daddys name please tell me about him,10
dadinfo,can we please talk about your dad now,10
dadinfo,please tell me about your dad's work and his life,10
dadinfo,"how was your dad, was he a good person",10
mominfo,please tell me about your mommy,11
mominfo,can we please talk about your mother,11
mominfo,I would to know more about your mother now,11
mominfo,lets talk a little about your mom now,11
mominfo,lets talk a little about your mama now,11
mominfo,would be willing to tell me about your mother please,11
mominfo,and what job does your mom work by the way,11
mominfo,what line of work was your mom in,11
mominfo,what kind of job did your mom used to do,11
mominfo,"please tell me about your mom and her work and how was she, was she nice",11
parentswork,what line of work are your parents in ,12
parentswork,what kind of work do you mom and dad do,12
parentswork,fill me in on the kind of work your mother and father do,12
parentswork,what kind of work are your mother and father into,12
parentswork,I command thee to tell me the kind of work your ma and pa do,12
parentswork,what kind of work are your parents into,12
parentswork,what kind of work do your parents do?,12
parentswork,what line of work are your parents in?,12
parentswork,thanks then ok then what kind of work do you parents do?,12
parentswork,"I implore you to fill me in, I request you, please tell me what kind of work were your parents into",12
futurevision,what do you envision for the future?,13
futurevision,what would you like to do in the future,13
futurevision,tell me something you would like to do in the future,13
futurevision,what do you hope to accomplish for the future?,13
futurevision,where do you see yourself 5 years down the line,13
futurevision,where do you see yourself in 10 years from now,13
futurevision,do you have a plan for the future - thanks again for that piece of information you just gave me,13
futurevision,what do you see yourself doing in the future?,13
futurevision,what do you think of the future?,13
futurevision,any further plans for the future then,13
futurevision,alright then thank you - what do you have in plans for your future,13
futurevision,what are your plans for future now - thanks again for the info from before,13
futurevision,what are your plans for the future?,13
futurevision,what are your thoughts about the future?,13
futurevision,what is your vision for the future?,13
futurevision,what do you think will happen in the future?,13
futurevision,"what is your vision for the future, fill me in on that",13
futurevision,"what is your plans for the future, what do you envision it as",13
kidsinfo,how many kids do you have?,14
kidsinfo,do you have any kids?,14
kidsinfo,tell me about your children,14
kidsinfo,how many children do you have?,14
kidsinfo,I would like to know more about your children,14
hobby,what is your favorite sport,15
hobby,what do you like to do when you are not busy,15
hobby,what hobbies do you enjoy in your free time,15
hobby,what do you look forward to the most during your free hours,15
hobby,tell me about your favorite sport,15
hobby,what is your favorite sport,15
hobby,what is your favorite part time activity?,15
hobby,do you have any hobbies,15
hobby,"fill me in on your hobbies, I implore thee",15
goodbyes,exit now,16
goodbyes,bye its time to exit,16
goodbyes,farewell now goodbye,16
goodbyes,good bye now,16
goodbyes,bye then or bye now or good bye now ,16
goodbyes,bye now,16
goodbyes,bye,16
goodbyes,thanks for talking to me,16
goodbyes,alrighty then,16
goodbyes,talk to you later,16
goodbyes,will talk to you later,16
goodbyes,lets talk later,16
goodbyes,catch you later,16
goodbyes,see you around,16
goodbyes,later alligator,16
goodbyes,let's talk later,16
goodbyes,see you later alligator,16
goodbyes,catch you later alligator,16
missparents,do you miss your parents,17
missparents,do you miss mom and dad,17
missparents,how often do you think about your parents,17
missparents,do you still have emotional feelings for your mother and father,17
missparents,do you miss spending time with your family ,17
missparents,do you miss spending time with your parents,17
missparents,do you miss spending time with your family ,17
missparents,do you miss spending time with your parents and family members then,17
missparents,do you still have memories of your parents,17
missparents,"anyways, do you miss your parents and how much do you miss them",17
missparents,dont you still miss your parents,17
missparents,do you still have memories about your parents,17
missparents,do u still think about your parents,17
missparents,do you still remember your parents,17
missparents,do you miss your family back there,17
missparents,are you missing your famiy back there,17
favefood,what is your fave food,18
favefood,what is your favorite food,18
favefood,the food that you like to eat the most,18
favefood,your favorite meal,18
favefood,what is your top pick when it comes to food,18
favefood,"any ways, tell me about your favorite food",18
favefood,your favorite cuisine,18
favefood,what would you say is your go to dish?,18
favefood,what is your top pick at a restaurant,18
favefood,what kind of food do you like the most,18
favefood,the kind of food you like the best,18
cultureinfo,could you enlighten me on your culture,19
cultureinfo,tell me about your culture,19
cultureinfo,lets talk about your culture,19
cultureinfo,what insights can you give me on your culture,19
cultureinfo,what knowledge do you have about your cultures and traditions,19
cultureinfo,I would like to know more about your traditions,19
cultureinfo,let's talk about your traditions,19
cultureinfo,please cause me a little enlightenment on your cultures and traditions,19
agreementreply,fine,20
agreementreply,sure,20
agreementreply,alright,20
agreementreply,certainly,20
agreementreply,sounds fine to me,20
agreementreply,as yo say,20
agreementreply,thanks for letting me know,20
agreementreply,thank you for letting me know ,20
agreementreply,ass you say,20
agreementreply,as you say,20
agreementreply,oh okay,20
agreementreply,oh ok alright,20
agreementreply,ah alright,20
agreementreply,alright then,20
agreementreply,alrighty then,20
agreementreply,okay then,20
agreementreply,ok then,20
agreementreply,that’s nice to me,20
positivereply,sounds good,21
positivereply,sounds great,21
positivereply,damn,21
positivereply,damn boah,21
positivereply,amazing,21
positivereply,wowzer,21
positivereply,wow,21
positivereply,ah that’s  nice,21
positivereply,wow that’s a long story,21
positivereply,that’s a long story,21
positivereply,aww that nice,21
positivereply,I am happy to hear that,21
positivereply,I fully agree with you,21
positivereply,I totally understand,21
positivereply,yes I fully agree with you,21
positivereply,so happy to hear that,21
positivereply,indeed nice it is,21
positivereply,I fully understand,21
positivereply,I understand,21
positivereply,so elated to hear that,21
positivereply,hearing this has caused me a lot of elation not going to lie,21
positivereply,nice ,21
positivereply,thats good,21
positivereply,that is good,21
positivereply,that’s so nice,21
positivereply,thats kinda good,21
positivereply,that’s good,21
positivereply,that’s kind of good,21
positivereply,so good,21
positivereply,impressive,21
positivereply,oh that’s nice,21
positivereply,that is a nice answer,21
positivereply,oh nice,21
positivereply,that is wonderful,21
positivereply,that is a nice,21
positivereply,so good indeed,21
positivereply,that sounds fire!,21
positivereply,that sounds really good,21
positivereply,haha nice,21
positivereply,oh my god,21
positivereply,my god,21
positivereply,that is so cool,21
positivereply,that brings me so much joy,21
positivereply,that brings me so much happiness,21
positivereply,that causes me so much elation,21
positivereply,I sure am elated to hear that for you,21
changeittopic,its fine leave it,22
changeittopic,leave it,22
changeittopic,nah I am good,22
changeittopic,nah leave it,22
changeittopic,nothing,22
changeittopic,let me ask something else,22
changeittopic,no worries ,22
changeittopic,no worry,22
changeittopic,ok,22
changeittopic,let me rephrase that for you,22
changeittopic,let me re-phrase that for you,22
changeittopic,no its ok,22
changeittopic,no its fine I am ok,22
changeittopic,no I am good,22
religionques,what religions do you follow,23
religionques,what god do you worship,23
religionques,what gods do you believe in,23
religionques,do you believe in a higher power?,23
religionques,"do you believe that there is someone controlling the world, the cosmos, the universe",23
religionques,what are your religious beliefs,23
religionques,do you believe in a greater power,23
religionques,do you believe in a superior power,23
religionques,do you believe in a higher source of power,23
religionques,what religion do you follow,23
religionques,what religion does your family practice,23
religionques,what is your take on your religion,23
religionques,what higher power do you belive in,23
religionques,what concept of higher power do you believe in,23
diffinexp,how is your experience here different from the past,24
diffinexp,how has it been different ,24
diffinexp,what kind of metamorphism did your experience undergo after coming here,24
diffinexp,did you feel any different after coming to the united states,24
diffinexp,how has your experience been different,24
diffinexp,what changes have you felt since you have moved here,24
diffinexp,how is here different from there,24
diffinexp,how do you reckon your experience has changed since you have moved here,24
diffinexp,what kind of metamorphism has your experience or your lifestyle has gone thorugh since moving here,24
tellmemore,tell me more ,25
tellmemore,please tell me more,25
tellmemore,is there anything else,25
tellmemore,is there anything else for you to say,25
tellmemore,tell me more about it,25
tellmemore,I would like to know more about it,25
tellmemore,tell me more about this,25
tellmemore,oh I would love to know more about this,25
tellmemore,lets talk more about this,25
tellmemore,oh really?,25
tellmemore,how much,25
tellmemore,"and why would that be, what is the reason behind that?",25
tellmemore,and how much do you ,25
tellmemore,can we talk more about this,25
tellmemore,I would rather want to hear more about that,25
tellmemore,what is the because,25
tellmemore,why,25
tellmemore,why is it that way,25
tellmemore,what is it like,25
tellmemore,what's it like,25
tellmemore,whats that like,25
tellmemore,tell me more about them,25
tellmemore,tell me more about her,25
tellmemore,tell me more about him,25
roots,where are you from,26
roots,where're you from,26
roots,where do you have your roots from originally,26
roots,where are you from originally,26
roots,where do you come from,26
roots,"so where do you come from, where did you live in the past",26
roots,so where were you living before you came here,26
roots,where do you hail from,26
roots,where do you belong to,26
roots,where do you beling from,26
roots,where do your roots lie,26
kidsage,how old is your kids,27
kidsage,how old is your son,27
kidsage,how old is your daughter,27
kidsage,how old are your kids,27
kidsage,how old are your children,27
kidsage,what is the age of your kids,27
kidsage,how old are your offsprings,27
kidsage,how agey are your kids,27
howlongwork,how long have you been doing that for,28
howlongwork,how long has it been for you doing that,28
howlongwork,for how long have you been doing that,28
howlongwork,how much experience do you have with that,28
howlongwork,how many years have you been doing it for,28
stayintouchpar,how do you stay in touch with your parents,29
stayintouchpar,how do you stay in touch with them,29
stayintouchpar,how do you stay in touch with your family back there,29
stayintouchpar,how frequently do you guys talk,29
stayintouchpar,how often do you contact your mom and dad,29
stayintouchpar,how often do you contact your mother and father,29
spouse,tell me about your spouse,30
spouse,are you married,30
spouse,do you have a partner as in a spouse,30
spouse,do you have a wife,30
spouse,do you have a husband,30
spouse,do you have a girlfried or a boyfriend,30
spouse,are you single as of now,30
spouse,tell me something about your wife,30
spouse,tell me something about your husband,30
spouse,tell me something about your partner,30
spouse,lets talk about your fiance,30
spouse,tell me something about your fiance,30
spouseage,how old is your wife,31
spouseage,how old is your partner,31
spouseage,how old is your husband,31
spouseage,how old is your fiance,31
spouseage,what is the age of your fiance,31
spouseage,how old is your girlfriend,31
spouseage,how agey is your boyfriend,31
foodbackthere,what kind of food do you have back there,32
foodbackthere,what kind of food does your country have,32
foodbackthere,what kind of meals do you have back there,32
foodbackthere,what cuisines do you have in your country of origin,32
foodbackthere,what kind of food did you part take in back there,32
foodbackthere,tell me a little about the food you had back there,32
foodbackthere,what food did you have back there,32
goodcomm,what do you think a good community is,33
goodcomm,what do you think is a good society,33
goodcomm,what is the meaning of a good community in your books,33
goodcomm,"what is the meaning of a good society, a good community, a good place for people to live, in your books",33
goodcomm,and what do you mean when it comes to defining a good society,33
goodcomm,what is a good community,33
goodcomm,what is your opinion on a good community,33
goodcomm,what is a good community in your books,33
goodcomm,"in your personal self opinion, what is a good community how would you define a good community",33
faveperson,who is your favorite person,34
faveperson,who is the person you look up to,34
faveperson,what person do you look up to,34
faveperson,who is your idol,34
faveperson,who has been the most influential person in your life,34
faveperson,who would you call the most important person in your life,34
faveperson,who has influenced you the most,34
faveperson,"who is your role model, please tell me about this, I implore you",34
sameliking,I like it too,35
sameliking,"you know what, I love it too",35
sameliking,I am glad we like the same things,35
sameliking,what a coincidence! I like it too,35
sameliking,that’s amazing we like the same stuff,35
sameliking,oh amazing we like the same things,35
sameliking,so surprising that we like the same stuff,35
sameliking,wow I love it too,35
sameliking,oh damn we both like the same stuff,35
sameliking,we both like the same things,35
sameliking,"talk about coincidence, I like it too",35
sameliking,"man, I like it too",35
importanceedu,how do you define the importance of education,36
importanceedu,what is your thought about a good education,36
importanceedu,does a decent education affect the developmemt of a little one,36
importanceedu,what do you think is the role of a good education in the growth of children,36
importanceedu,is a good education pertinent to the development of a child,36
importanceedu,what is the importance of education,36
importanceedu,do you think a good education is important,36
importanceedu,do you think a proper education is important,36
importanceedu,in your opinion how important is a good education,36
importanceedu,what is your outlook on the significance on the quality of education,36
importanceedu,how do you view the value of a strong educational background,36
hardeststruggle,what has been the hardest struggle for you during the move/transition,37
hardeststruggle,what was the trickiest part of the transition for you,37
hardeststruggle,what the trickiest part about the move for you,37
hardeststruggle,what has been the most challenging element of the transition,37
hardeststruggle,what has been the hardest part of the move for you,37
hardeststruggle,what has been the most difficult part of the transition ,37
hardeststruggle,what has been the most difficult part of the move,37
hardeststruggle,"what would you say, in your opinion, has been the most challenging part of the move",37
ushealthcare,how has your experience been with the US healthcare services so far,38
ushealthcare,how has the U.S healthcare treated you,38
ushealthcare,how do you like the U.S healthcare amenities so far,38
ushealthcare,what has been your exposure to the US healthcare,38
ushealthcare,how do you like the healthcare system over here,38
ushealthcare,what has been your encounter with the U.S. Healthcare,38
ushealthcare,what impressions do you have for the US healthcare,38
ushealthcare,what do you think of the us health care system,38
howdidutravel,how did you come to the US?,39
howdidutravel,how did you travel to the united states of america,39
howdidutravel,how was the travelling for you to the USA,39
howdidutravel,what was the travelling process like when you were on your way to the USA,39
howdidutravel,how did you transport yourself from there to here,39
howdidutravel,how did you transport yourself from afghanistan to USA,39
howdidutravel,what was the journey to the U.S. of A like,39
howdidutravel,what was the travel like from there to the USA,39
howdidutravel,how did you travel,39
howdidutravel,How did you find your self in the US,39
howdidutravel,How did you manage to get to the US,39
howdidutravel,what was the travelling like for you to get to the united states,39
howdidutravel,what mode of transportation did you use to get to the united states,39
opiniononwork,what do you think of your work,40
opiniononwork,whats your opinion on the kind of work you do? Do you like it?,40
opiniononwork,do you like your work,40
opiniononwork,do you like the job you do,40
opiniononwork,tell me something that you like about your job,40
dating,are you dating someone as of now,41
dating,are you seeing someone as of now,41
dating,are you single currently ,41
dating,are you talking to someone as of now in terms of dating,41
dating,"presently, are you married",41
dating,who are you dating as of current?,41
dating,as of present who are you dating?,41
dating,what is your marital status?,41
dating,what is your present marital status?,41
immistatus,what is your immigration status?,42
immistatus,what kind of VISA are you on here in the U.S. of A.,42
immistatus,what is your visa status ,42
immistatus,what is the level of your visa while here,42
immistatus,what kind of VISA do you have?,42
kidsinfo,tell me about your daughter,43
kidsinfo,what can you tell me about your offsprings,43
kidsinfo,who is your son ?,43
kidsinfo,who is your daughter?,43
kidsinfo,do you have children of your own as of now,43
kidsinfo,do you have any kids?,43
kidsinfo,what can you tell me about your daughter,43
kidsinfo,do you love your daughter?,43
kidsinfo,tell me about your son?,43
kidsinfo,what can you tell me about your son,43
morekidsques,are you expecting more kids,44
morekidsques,are you trying to have more kids,44
morekidsques,would you like to have more kids in the future,44
howmeetspouse,how did you meet your spouse?,45
howmeetspouse,so how did you meet your partner?,45
howmeetspouse,"how did you meet her, your wife?",45
howmeetspouse,how the hell did you end up meeting your spouse,45
howmeetspouse,how in the world did you find your wife,45
howmeetspouse,"how did you meet him, your husband?",45
howmeetspouse,how did you meet your spouse?,45
howmeetspouse,what is the story behind you meeting your life partner,45
howmeetspouse,what is the story behind you meeting your wife,45
howmeetspouse,what is the story behind you meeting your husband,45
howmeetspouse,how did you meet your boyfriend,45
howmeetspouse,how did you meet your girlfriend,45
faveplacesus,what places in USA are your favorite?,46
faveplacesus,what place s do you like to visit in the US?,46
faveplacesus,what places do you like to visit in the united states generally,46
faveplacesus,any place here you like in particular to visit and explore,46
faveplacesaz,what places do you like to visit in Arizona?,47
faveplacesaz,are there any places in arizona that are up your alley,47
faveplacesaz,any places in arizona that suit your taste?,47
faveplacesmex,what places in mexico do you like?,48
faveplacesmex,any places in mexico you like to visit?,48
faveplacesmex,what are your favorite places in mexico?,48
faveplacesmex,what places do you like to visit while in Mexico?,48
faveplacesmex,what places in mexico are close to your heart?,48
cartelinfo,what can you tell me about the cartel,49
cartelinfo,did you have any connections to the cartel,49
cartelinfo,is cartel a big problem in mexico,49
cartelinfo,was cartel a serious threat,49
cartelinfo,what were your concerns about cartel,49
cartelinfo,were you ever concerned about cartel ,49
cartelinfo,tell me some thing about the cartel,49
cartelinfo,was cartel a serious concern for you and your family members,49
hometown,please tell me about your hometown,50
hometown,what can you tell me about your home town,50
hometowninfo,where is your hometown,50
hometowninfo,where is piedras negras,50
hometowninfo,where in mexico is the city of piedras negras,50
hometown,can I get some info on your home town?,50
hometown,please tell me something about your home town - the place where you were born,50
hometowninfo,where is your birth town,50
hometowninfo,where is the town where you were born,50
hwereborninfo,where were you born,50
hwereborninfo,where did your birth take place,50
spawninfo,where did you spawn,51
spawninfo,where did you land on the planet of earth,51
spawninfo,where in the universe did you spawn,51
schooling,where did you do your schooling from ,52
schooling,what can you tell me about your education,52
schooling,tell me something about your education experience,52
schooling,and how was your education,52
schooling,how was your education. Please tell me a little bit about it,52
schooling,whence did you do your schooling form ,52
schooling,tell me about your schooling,52
schooling,tell me something about your school,52
schooling,tell me some thing about your education experience,52
schooling,lets talk about your education experience,52
schooling,how was your schooling,52
schooling,what was your schooling like,52
schooling,so how was your school,52
schooling,how your school? Was it good? Or was it ok?,52
schooling,lets have a conversation about your educational experience,52
schooling,tell me some thing about your educational experience,52
